entity_id,entity_type,name,image_url
40904,character,"Yamoto, Koki",https://cdn.myanimelist.net/images/characters/13/277580.jpg
40905,character,"Katakura, Fujio",https://cdn.myanimelist.net/images/characters/10/294257.jpg
40906,character,"Tanaka, Kagi",https://cdn.myanimelist.net/images/characters/7/286492.jpg
40907,character,Lobster,https://cdn.myanimelist.net/images/characters/10/287672.jpg
40908,character,"Dragon, Yukano",https://cdn.myanimelist.net/images/characters/8/294354.jpg
40909,character,"Sawatari, Forest",https://cdn.myanimelist.net/images/characters/8/286557.jpg
40910,character,"Agata, Maria",https://cdn.myanimelist.net/images/characters/8/294173.jpg
40911,character,Daedalos,https://cdn.myanimelist.net/images/characters/7/285923.jpg
40912,staff,"Matsuo, Eiji",
40913,character,Sayless,https://cdn.myanimelist.net/images/characters/6/390526.jpg
40914,character,Pique,https://cdn.myanimelist.net/images/characters/15/79283.jpg
40915,character,"Kaku, Bunwa",https://cdn.myanimelist.net/images/characters/12/326396.jpg
40916,character,Goei,https://cdn.myanimelist.net/images/characters/3/406093.jpg
40917,staff,"Kanazawa, Katsuma",
40918,staff,"Shiozaki, Yuji",
40919,voice_actor,"Tamura, Kinto",https://cdn.myanimelist.net/images/voiceactors/1/31085.jpg
40920,staff,"Hikone, Norio",
40921,character,"Shibata, Genzou",https://cdn.myanimelist.net/images/characters/13/589607.jpg
40922,character,Jeeg,https://cdn.myanimelist.net/images/characters/9/472533.jpg
40923,character,"Edgardo Latis, Altena",https://cdn.myanimelist.net/images/characters/13/392061.jpg
40924,character,"Vanstein, Carmilla",https://cdn.myanimelist.net/images/characters/14/392069.jpg
40925,character,"Joannascore Adorian Uljika, Joanna",https://cdn.myanimelist.net/images/characters/2/392779.jpg
40926,character,Celes,https://cdn.myanimelist.net/images/characters/10/393950.jpg
40927,studio,Studio Zero,
40928,staff,"Suzuki, Shinichi",
40929,voice_actor,"Shibata, Teruhiko",https://cdn.myanimelist.net/images/questionmark_23.jpg
40930,character,Jewelry Shop Owner,https://cdn.myanimelist.net/images/characters/3/347643.jpg
40931,staff,"Utsunomiya, Satoru",
40932,character,Maze,https://cdn.myanimelist.net/images/characters/2/83262.jpg
40933,character,"Varna, Mill",https://cdn.myanimelist.net/images/characters/6/82389.jpg
40934,character,"Schfoltzer, Solude",https://cdn.myanimelist.net/images/characters/9/82396.jpg
40935,character,"Dolnard, Woll",https://cdn.myanimelist.net/images/characters/10/83025.jpg
40936,character,"Sarris, Rapier",https://cdn.myanimelist.net/images/characters/14/82793.jpg
40937,character,"Reighe, Asterote",https://cdn.myanimelist.net/images/characters/6/82795.jpg
40938,character,Chic,https://cdn.myanimelist.net/images/characters/10/82796.jpg
40939,character,Thanus,https://cdn.myanimelist.net/images/characters/12/540388.jpg
40940,character,Pochomkin,https://cdn.myanimelist.net/images/characters/13/540387.jpg
40941,character,"Sado, Shizuka",https://cdn.myanimelist.net/images/characters/16/127149.jpg
40942,staff,"Matsuno, Akinari",
40943,staff,"Fujiwara, Natsuko",
40944,character,"Sena Kanaka, Miharu",https://cdn.myanimelist.net/images/characters/9/67566.jpg
40945,character,"Kojima, Kirie",https://cdn.myanimelist.net/images/characters/8/230419.jpg
40946,character,"Sasaki, Yukinari",https://cdn.myanimelist.net/images/characters/15/79921.jpg
40947,character,"Fukuyama, Kazuharu",https://cdn.myanimelist.net/images/characters/11/284954.jpg
40948,character,"Fukuyama, Risa",https://cdn.myanimelist.net/images/characters/6/523785.jpg
40949,character,Ebi,https://cdn.myanimelist.net/images/characters/1/1435.jpg
40950,character,"Hare Nanaka, Koyomi",https://cdn.myanimelist.net/images/characters/10/523802.jpg
40951,character,Kosame,https://cdn.myanimelist.net/images/characters/4/523799.jpg
40952,character,"Lana Jude, Tomoka",https://cdn.myanimelist.net/images/characters/6/481645.jpg
40953,character,"Sena Kanaka, Maharu",https://cdn.myanimelist.net/images/characters/3/523809.jpg
40954,character,"Hsu, Ling Ling",https://cdn.myanimelist.net/images/characters/13/126865.jpg
40955,character,Narutaki,https://cdn.myanimelist.net/images/characters/14/126863.jpg
40956,character,Yagami,https://cdn.myanimelist.net/images/characters/10/127487.jpg
40957,character,"Edogawa, Lily",https://cdn.myanimelist.net/images/characters/8/532868.jpg
40958,character,Jimothy,https://cdn.myanimelist.net/images/characters/10/532869.jpg
40959,character,"Highend, Anna",https://cdn.myanimelist.net/images/characters/12/532866.jpg
40960,character,Dr. Mayerd,https://cdn.myanimelist.net/images/characters/9/532863.jpg
40961,character,"Burn, Grammy",https://cdn.myanimelist.net/images/characters/10/532870.jpg
40962,character,Rapparu,https://cdn.myanimelist.net/images/voiceactors/1/84498.jpg
40963,staff,Rapparu,
40964,studio,Qzil.la,
40965,producer,S.o.K,
40966,character,Gureko,https://cdn.myanimelist.net/images/characters/3/503567.jpg
40967,voice_actor,"Aihara, Kotomi",https://cdn.myanimelist.net/images/voiceactors/3/66689.jpg
40968,character,Korimo,https://cdn.myanimelist.net/images/characters/7/503569.jpg
